92 2007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 19783 17 2 2 1 1 1
90.58 2007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 18934 11 2 2 1 1 1
92.23 2007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 19083 18 2 2 1 1 1
113.55 2007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 20036 11 3 2 1 2 1
117.73 2007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 16989 11 3 2 1 1 1
93 2007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 20162 17 2 2 1 1 1
127.01 2007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 20755 18 3 2 1 1 1
111.91 2007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 18766 18 3 2 1 2 1
89.39 2007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 19522 11 2 2 1 1 1
91.68 2007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 19634 17 2 2 1 1 1
48.45 2016 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 24356 45 1 1 1 1 1
73.5 2016 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 25851 18 2 1 1 1 1
85.35 2016 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 27476 32 3 2 1 1 1
140 2015 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 24000 47 3 1 1 2 0
122.01 2015 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 22540 47 3 2 1 2 0
98 2015 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 22449 47 3 2 1 1 0
122.32 2017 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 22728 47 3 2 1 2 0
119.72 2015 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 24975 48 3 2 1 2 0
116.45 2015 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 24543 47 3 2 1 2 0
122.39 2018 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 23205 47 3 2 1 2 0
40.5 2014 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 23457 17 2 2 1 1 1
40.5 2014 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 25926 17 2 1 1 1 1
40.5 2014 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 23951 17 2 2 1 2 1
40.44 2014 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 24110 17 2 2 1 2 1
40.5 2014 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 25186 17 2 2 1 1 1
